,name,price,stars,reviews,sponsored,rank
0,"Fresh Cosmic Apples, 3 lb Bag",$6.56,2.5,165 reviews,True,1
1,"Fresh Envy Apples, Each",$1.48,3.3,448 reviews,True,2
2,"Cosmic Crisp Apples, Each",$1.35,2.8,276 reviews,True,3
3,"Opal Apples, 2 lb bag",$4.12,3.8,69 reviews,True,4
4,"Fresh Gala Apples, 3 lb Bag",$3.46,,,False,5
5,"Fresh Gala Apple, Each",$0.64,,,False,6
6,"Fresh Honeycrisp Apples, 3 lb Bag",$5.46,,,False,7
7,"Fresh Honeycrisp Apple, Each",$1.30,,,False,8
8,"Fresh Fuji Apples, 3 lb Bag",$4.24,,,False,9
9,"Fresh Granny Smith Apples, 3 lb Bag",$4.74,,,False,10
10,"Fresh Granny Smith Apple, Each",$1.12,,,False,11
11,"Fresh Cosmic Apples, 3 lb Bag",$6.56,,,False,12
12,"Fresh Red Delicious Apples, 5 lb Bag",$5.54,,,False,13
13,"Fresh Fuji Apple, Each",$0.95,,,False,14
14,"Fresh Organic Gala Apples, 3 lb Bag",$4.98,,,False,15
15,"Fresh Organic Honeycrisp Apples, 2 lb Pouch",$5.92,,,False,16
16,"Fresh Red Delicious Apple, Each",$0.80,,,False,17
17,"Cosmic Crisp Apples, Each",$1.35,,,False,18
18,"Fresh Envy Apples, Each",$1.48,,,False,19
19,"Fresh Ambrosia Apples, 3 lb Bag",$5.74,,,False,20
20,"Fresh Jazz Apples, 3 lb Bag",$5.16,,,False,21
21,"Fresh Rockit, Crisp Sweet Miniature Apples, 3lb Tub",$10.37,,,False,22
22,"Opal Apples, 2 lb bag",$4.12,,,False,23
23,"Fresh Ambrosia Apple, Each",$1.41,,,False,24
24,"PRO2snax Sliced Apples with Peanut Butter & Banana Chips, 2.82 oz",$1.47,,,False,25
25,"Fresh Caramel Apple with Sprinkles, Each",$1.48,2.4,25 reviews,False,26
26,"Crunch Pak Fresh Tart Apple Slices, 24 oz Resealable Family-sized Bag",$5.97,,,False,27
27,"Dippin' Stix Fresh Gala Sliced Apples and Caramel, 2.75 oz",$1.47,2.3,69 reviews,False,28
28,"Fresh Bartlett Pears, Each",$1.22,,,False,29
